pcd_path,obj_token,frame_id,depth_path,expected_model_path,expected_obj_id
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000008_000003.ply,3,8,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000008.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000008.ply,8
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000008_000004.ply,4,8,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000008.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000009.ply,9
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000008_000005.ply,5,8,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000008.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000010.ply,10
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000008_000006.ply,6,8,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000008.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000011.ply,11
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000008_000007.ply,7,8,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000008.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000012.ply,12
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000010_000000.ply,0,10,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000010.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000001.ply,1
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000010_000001.ply,1,10,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000010.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000005.ply,5
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000010_000002.ply,2,10,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000010.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000006.ply,6
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000010_000003.ply,3,10,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000010.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000008.ply,8
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000010_000004.ply,4,10,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000010.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000009.ply,9
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000010_000005.ply,5,10,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000010.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000010.ply,10
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000010_000006.ply,6,10,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000010.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000011.ply,11
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000010_000007.ply,7,10,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000010.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000012.ply,12
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000013_000000.ply,0,13,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000013.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000001.ply,1
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000013_000001.ply,1,13,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000013.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000005.ply,5
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000013_000002.ply,2,13,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000013.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000006.ply,6
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000013_000003.ply,3,13,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000013.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000008.ply,8
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000013_000004.ply,4,13,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000013.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000009.ply,9
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000013_000005.ply,5,13,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000013.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000010.ply,10
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000013_000006.ply,6,13,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000013.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000011.ply,11
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000013_000007.ply,7,13,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000013.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000012.ply,12
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000014_000000.ply,0,14,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000014.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000001.ply,1
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000014_000001.ply,1,14,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000014.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000005.ply,5
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000014_000002.ply,2,14,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000014.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000006.ply,6
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000014_000003.ply,3,14,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000014.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000008.ply,8
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000014_000004.ply,4,14,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000014.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000009.ply,9
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000014_000005.ply,5,14,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000014.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000010.ply,10
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000014_000006.ply,6,14,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000014.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000011.ply,11
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000014_000007.ply,7,14,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000014.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000012.ply,12
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000015_000000.ply,0,15,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000015.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000001.ply,1
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000015_000001.ply,1,15,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000015.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000005.ply,5
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000015_000002.ply,2,15,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000015.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000006.ply,6
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000015_000003.ply,3,15,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000015.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000008.ply,8
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000015_000004.ply,4,15,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000015.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000009.ply,9
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000015_000005.ply,5,15,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000015.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000010.ply,10
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000015_000006.ply,6,15,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000015.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000011.ply,11
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000015_000007.ply,7,15,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000015.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000012.ply,12
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000016_000000.ply,0,16,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000016.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000001.ply,1
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000016_000001.ply,1,16,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000016.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000005.ply,5
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000016_000002.ply,2,16,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000016.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000006.ply,6
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000016_000003.ply,3,16,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000016.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000008.ply,8
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000016_000004.ply,4,16,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000016.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000009.ply,9
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000016_000005.ply,5,16,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000016.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000010.ply,10
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000016_000006.ply,6,16,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000016.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000011.ply,11
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000016_000007.ply,7,16,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000016.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000012.ply,12
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000029_000000.ply,0,29,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000029.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000001.ply,1
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000029_000001.ply,1,29,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000029.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000005.ply,5
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000029_000002.ply,2,29,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000029.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000006.ply,6
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000029_000003.ply,3,29,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000029.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000008.ply,8
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000029_000004.ply,4,29,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000029.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000009.ply,9
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000029_000005.ply,5,29,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000029.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000010.ply,10
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000029_000006.ply,6,29,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000029.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000011.ply,11
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000029_000007.ply,7,29,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000029.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000012.ply,12
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000030_000000.ply,0,30,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000030.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000001.ply,1
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000030_000001.ply,1,30,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000030.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000005.ply,5
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000030_000002.ply,2,30,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000030.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000006.ply,6
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000030_000003.ply,3,30,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000030.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000008.ply,8
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000030_000004.ply,4,30,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000030.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000009.ply,9
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000030_000005.ply,5,30,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000030.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000010.ply,10
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000030_000006.ply,6,30,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000030.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000011.ply,11
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000030_000007.ply,7,30,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000030.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000012.ply,12
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000034_000000.ply,0,34,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000034.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000001.ply,1
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000034_000001.ply,1,34,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000034.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000005.ply,5
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000034_000002.ply,2,34,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000034.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000006.ply,6
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000034_000003.ply,3,34,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000034.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000008.ply,8
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000034_000004.ply,4,34,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000034.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000009.ply,9
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000034_000005.ply,5,34,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000034.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000010.ply,10
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000034_000006.ply,6,34,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000034.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000011.ply,11
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000034_000007.ply,7,34,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000034.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000012.ply,12
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000043_000000.ply,0,43,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000043.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000001.ply,1
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000043_000001.ply,1,43,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000043.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000005.ply,5
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000043_000002.ply,2,43,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000043.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000006.ply,6
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000043_000003.ply,3,43,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000043.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000008.ply,8
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000043_000004.ply,4,43,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000043.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000009.ply,9
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000043_000005.ply,5,43,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000043.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000010.ply,10
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000043_000006.ply,6,43,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000043.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000011.ply,11
data/LM-O (Linemod-Occluded)/lmo_test_all/test/_preprocessed_lmo/inst_pcd_visib/000002\000043_000007.ply,7,43,data/LM-O (Linemod-Occluded)/lmo_test_all/test/000002/depth\000043.png,data/LM-O (Linemod-Occluded)/lmo_models/models_eval\obj_000012.ply,12
